track_id,track_name,artist_name,cosine_dist_mod2,predicted_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,0.00771872,opm acoustic,0.631,0.381,0.498134238,0.04,0.447,0.000171,0.0902,0.36,0.491545957,0.400654547,0.015960529,0.147748856,0.113885465,0.013112725,0.308637878
0mqJsNkF3MRtBkRhzVskVX,We Can't Be,Krissy,0.009060213,opm acoustic,0.516,0.31,0.483353526,0.0279,0.565,0,0.113,0.33,0.510134431,0.486898885,0.024878019,0.114283772,0.03197875,0.009775082,0.332185492
267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,0.009688214,opm acoustic,0.551,0.329,0.550327114,0.0431,0.648,3.82E-05,0.0925,0.331,0.580717226,0.495322894,0.025532848,0.178313461,0.06258512,0.012826459,0.225419219
4NZJUFjccdGUfRb7z7Igbd,Sana Ngayong Pasko,Silent Sanctuary,0.009811427,opm acoustic,0.678,0.387,0.59103465,0.0295,0.667,0,0.186,0.369,0.498456388,0.489790293,0.023962417,0.209429867,0.067487162,0.017946039,0.191384222
3gkwEytdCYIsrFdfEE2ALW,Mahika,TJ Monterde,0.01026752,opm acoustic,0.545,0.49,0.734819481,0.0289,0.557,7.69E-05,0.127,0.372,0.582553929,0.338577842,0.024884197,0.139275226,0.043952706,0.019285637,0.434024391
7bkAr4WNoTuSjpuh1NRQjm,Ex,Callalily,0.014239388,opm rock,0.631,0.507,0.68887812,0.0263,0.455,1.74E-05,0.096,0.378,0.583387609,0.318736273,0.018814542,0.12631374,0.080751709,0.017001279,0.438382457
7h4W9blGxYCkKJ3dxPZ84j,Dulo Ng Hangganan,IV Of Spades,0.019696885,opm rock,0.565,0.565,0.657475164,0.0368,0.494,0.00262,0.127,0.35,0.556898708,0.274547938,0.022489661,0.117343096,0.076139238,0.025130741,0.484349326
2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,Michael Dutchi Libranda,0.021879748,opm rock,0.501,0.57,0.755851708,0.0337,0.569,0,0.0649,0.311,0.579525323,0.324156065,0.029313678,0.09404007,0.047632259,0.026598985,0.478258943
2meEAmZCXr2dud0RRYyfZt,Kaibigan Mo,Sarah Geronimo,0.02509659,opm rock,0.53,0.534,0.66164284,0.0347,0.652,0,0.118,0.476,0.581993799,0.195170632,0.031610408,0.259023003,0.049153492,0.034354774,0.430687691
5PjjypAmfFPp5Axknx5mJ9,Can't Get Out,Jem Macatuno,0.026376791,opm rock,0.615,0.379,0.557257087,0.0514,0.363,0,0.109,0.431,0.567423927,0.243077612,0.01553907,0.20159744,0.152002521,0.018116885,0.369666472
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,0.018834497,opm jazz,0.677,0.433,0.657572086,0.037,0.545,0,0.105,0.498,0.543637974,0.271993706,0.018801445,0.303558542,0.106758438,0.020303272,0.278584597
23sa0BogsmnZXkXT7bHDYK,Tanging Dahilan,Belle Mariano,0.036579103,opm jazz,0.622,0.426,0.779064696,0.0304,0.779,0,0.0929,0.493,0.582260838,0.25994046,0.029576901,0.439443359,0.04978051,0.033327949,0.187930821
4sYpTI5RPkhX2OWfrmjNl3,Tell Me Where It Hurts,MYMP,0.037652473,opm jazz,0.506,0.533,0.684855827,0.0628,0.695,0,0.0956,0.432,0.840050542,0.177054233,0.0306985,0.312852205,0.114880983,0.038901147,0.325612932
4v2yxWNY3WCzB0YS9QJZP4,Byahe,John Roa,0.047155164,opm jazz,0.682,0.471,0.610661497,0.053,0.565,0.00277,0.0919,0.56,0.495518966,0.170356548,0.017624217,0.397137425,0.168665575,0.031604653,0.214611582
4jXiylt6Qg9gjAvlKIUZ95,Knots,Moira Dela Torre,0.048321548,opm jazz,0.657,0.491,0.718051854,0.0526,0.576,0,0.124,0.592,0.582312943,0.143067246,0.018808535,0.429014601,0.129243901,0.038521706,0.241344012
