,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Sana - Single Version,1X4l4i472kW5ofFP8Xo0x0,0.66,0.373,7,-7.874,1,0.029,0.701,0.0,0.226,0.348,126.887
1,Balang Araw - Single Version,5NXdUJ3Z2jhlp2u1cj6f7m,0.523,0.391,7,-9.283,1,0.0298,0.395,0.0,0.142,0.354,139.905
2,Game of Questions,6KTjHpX77i9Ge395Qzo40h,0.35,0.321,7,-8.316,1,0.0289,0.856,0.0,0.0969,0.24,96.686
3,Oras,2W8lOPzh50eyop8MTvcHjT,0.425,0.32,9,-13.868,1,0.0305,0.273,2.37e-05,0.301,0.207,149.979
4,"Patawad, Paalam",5QJYLlZvfZHX1wUTrgROru,0.472,0.288,2,-8.213,1,0.0318,0.865,1.01e-05,0.131,0.193,77.987
5,Never Me,4hXcHUcl4c6j3OKR5ZKsXw,0.49,0.353,4,-9.792,1,0.0309,0.737,2.29e-05,0.111,0.0653,126.845
6,Wala Lang - Single Version,4Ddp7ig73vE4TC7d44Lsoy,0.496,0.698,9,-6.403,1,0.0468,0.462,0.0,0.208,0.378,125.012
7,The One With The Snowflake,7bjzkR18f3SRsX64rPLbZg,0.489,0.271,4,-13.727,1,0.0328,0.77,0.0,0.135,0.41,137.122
8,Pansamantala,7nM2SjGPyonL5SSgG1nWTW,0.583,0.466,4,-8.468,1,0.0263,0.242,0.0,0.116,0.118,135.915
9,Ingat,2jV7k9z8ineTaMNtpu8AmQ,0.434,0.41,1,-9.688,1,0.0339,0.804,2.71e-06,0.104,0.0788,135.292
10,Maybe,2Qj2gsRuV9Jz3Ivu3pnfPm,0.672,0.569,9,-8.149,0,0.0487,0.492,0.0,0.196,0.463,130.003
11,Balita,62y4i6e9QVug3Nf7gf7i9P,0.485,0.891,2,-3.43,1,0.0539,0.00711,0.0,0.0847,0.474,160.99
12,Courage,5eNUqPoOoRDEvPDEMGkYZr,0.341,0.205,2,-11.639,1,0.032,0.901,1.25e-05,0.174,0.0777,72.794
13,Paumanhin,6zgqFqPlY4zXA6zrvrJWFt,0.373,0.374,4,-7.26,1,0.0286,0.225,0.0,0.165,0.19,109.79
14,Para kay Catriona,70m97ssxPqfwZQze0BSWqG,0.31,0.174,4,-13.043,1,0.0328,0.872,1.97e-05,0.116,0.405,100.04
15,Makinarya,0Ki5QyOEy7lBbyCeGPOokw,0.683,0.678,7,-6.913,1,0.0247,0.237,0.00249,0.0496,0.386,128.039
16,Porter,0kvz5n6AiRphwjz3tD5C61,0.593,0.344,9,-8.11,1,0.0289,0.823,0.0,0.127,0.202,113.217
17,Kapit,4Fw7dylZhlErihPSnl3anx,0.478,0.638,2,-6.012,1,0.0361,0.164,0.0,0.186,0.437,139.928
18,Pahirapan,452JK8q1HEoW13GRM9KT2O,0.406,0.961,8,-3.883,1,0.131,0.00239,0.00153,0.181,0.446,160.36
19,Muli,4jLrsj0KUGcYolnf0ANAWB,0.42,0.795,2,-4.38,1,0.035,0.000192,0.0,0.296,0.336,145.055
20,Pity Party,5Elo8icAIuDuvKFKDChQWj,0.685,0.127,2,-11.519,1,0.0346,0.817,0.0021,0.114,0.0598,112.991
21,Autopass,5yEc0LdCHGhJIrLkxZEMWr,0.554,0.821,11,-4.92,0,0.0413,0.00147,9.16e-06,0.342,0.523,145.992
22,Ruin,2W2CHuiU6Ud8Nwiez2n9OE,0.59,0.276,7,-12.021,1,0.0285,0.929,0.000129,0.119,0.12,103.221
23,Latch,57ZiSFWFSGeMH7NuS1QMWP,0.577,0.855,9,-5.769,1,0.0326,0.00605,0.0,0.204,0.272,137.928
24,The Greatest Enemy,00xMN7X0Ntgk7RQmq3hzMN,0.444,0.271,7,-7.496,1,0.032,0.746,0.0,0.109,0.254,144.031
